track_id,fase,inicio,fim
19790632,intensification,1979-07-21 00:00:00,1979-07-21 12:00:00
19790632,decay,1979-07-21 15:00:00,1979-07-22 09:00:00
19790632,residual,1979-07-22 12:00:00,1979-07-22 12:00:00
19790637,incipient,1979-07-22 06:00:00,1979-07-22 06:00:00
19790637,intensification,1979-07-22 09:00:00,1979-07-23 00:00:00
19790637,mature,1979-07-23 03:00:00,1979-07-23 09:00:00
19790637,decay,1979-07-23 12:00:00,1979-07-24 18:00:00
19790637,residual,1979-07-24 21:00:00,1979-07-25 03:00:00
19790644,incipient,1979-07-25 00:00:00,1979-07-25 15:00:00
19790644,intensification,1979-07-25 18:00:00,1979-07-27 18:00:00
19790644,mature,1979-07-27 21:00:00,1979-07-28 15:00:00
19790644,decay,1979-07-28 18:00:00,1979-07-31 21:00:00
19790651,intensification,1979-07-26 06:00:00,1979-07-27 03:00:00
19790651,mature,1979-07-27 06:00:00,1979-07-27 18:00:00
19790651,decay,1979-07-27 21:00:00,1979-07-30 12:00:00
19790656,intensification,1979-07-27 18:00:00,1979-07-28 18:00:00
19790656,mature,1979-07-28 21:00:00,1979-07-29 03:00:00
19790656,decay,1979-07-29 06:00:00,1979-07-30 00:00:00
19790656,intensification 2,1979-07-30 03:00:00,1979-07-31 03:00:00
19790656,mature 2,1979-07-31 06:00:00,1979-07-31 12:00:00
19790656,decay 2,1979-07-31 15:00:00,1979-08-01 15:00:00
19790661,intensification,1979-07-28 15:00:00,1979-07-28 18:00:00
19790661,mature,1979-07-28 21:00:00,1979-07-29 00:00:00
19790661,decay,1979-07-29 03:00:00,1979-07-30 06:00:00
19790661,residual,1979-07-30 09:00:00,1979-07-30 09:00:00
19790664,incipient,1979-07-29 12:00:00,1979-07-29 12:00:00
19790664,intensification,1979-07-29 15:00:00,1979-07-30 12:00:00
19790664,mature,1979-07-30 15:00:00,1979-07-31 00:00:00
19790664,decay,1979-07-31 03:00:00,1979-08-01 21:00:00
19790669,incipient,1979-07-31 03:00:00,1979-07-31 12:00:00
19790669,intensification,1979-07-31 15:00:00,1979-08-01 21:00:00
19790669,mature,1979-08-02 00:00:00,1979-08-02 15:00:00
19790669,decay,1979-08-02 18:00:00,1979-08-05 18:00:00
19800005,incipient,1980-01-01 12:00:00,1980-01-01 15:00:00
19800005,intensification,1980-01-01 18:00:00,1980-01-02 18:00:00
19800005,mature,1980-01-02 21:00:00,1980-01-03 00:00:00
19800005,decay,1980-01-03 03:00:00,1980-01-03 09:00:00
19800006,incipient,1980-01-02 03:00:00,1980-01-02 09:00:00
19800006,intensification,1980-01-02 12:00:00,1980-01-04 09:00:00
19800006,mature,1980-01-04 12:00:00,1980-01-05 06:00:00
19800006,decay,1980-01-05 09:00:00,1980-01-09 09:00:00
19800015,incipient,1980-01-06 00:00:00,1980-01-06 03:00:00
19800015,intensification,1980-01-06 06:00:00,1980-01-07 03:00:00
19800015,mature,1980-01-07 06:00:00,1980-01-07 09:00:00
19800015,decay,1980-01-07 12:00:00,1980-01-08 00:00:00
19800015,residual,1980-01-08 03:00:00,1980-01-08 21:00:00
19800016,incipient,1980-01-06 00:00:00,1980-01-06 15:00:00
19800016,intensification,1980-01-06 18:00:00,1980-01-08 09:00:00
19800016,mature,1980-01-08 12:00:00,1980-01-08 21:00:00
19800016,decay,1980-01-09 00:00:00,1980-01-09 21:00:00
19800021,incipient,1980-01-08 18:00:00,1980-01-09 09:00:00
19800021,intensification,1980-01-09 12:00:00,1980-01-11 00:00:00
19800021,mature,1980-01-11 03:00:00,1980-01-11 12:00:00
19800021,decay,1980-01-11 15:00:00,1980-01-12 21:00:00
19800028,incipient,1980-01-12 06:00:00,1980-01-12 09:00:00
19800028,intensification,1980-01-12 12:00:00,1980-01-15 21:00:00
19800028,mature,1980-01-16 00:00:00,1980-01-16 18:00:00
19800028,decay,1980-01-16 21:00:00,1980-01-18 21:00:00
19800033,incipient,1980-01-14 18:00:00,1980-01-14 18:00:00
19800033,intensification,1980-01-14 21:00:00,1980-01-20 09:00:00
19800033,mature,1980-01-20 12:00:00,1980-01-21 03:00:00
19800033,decay,1980-01-21 06:00:00,1980-01-23 12:00:00
19800036,intensification,1980-01-16 00:00:00,1980-01-16 12:00:00
19800036,decay,1980-01-16 15:00:00,1980-01-17 09:00:00
19800042,intensification,1980-01-18 03:00:00,1980-01-19 15:00:00
19800043,intensification,1980-01-18 06:00:00,1980-01-18 09:00:00
19800043,decay,1980-01-18 12:00:00,1980-01-19 03:00:00
19800050,decay,1980-01-20 09:00:00,1980-01-22 06:00:00
19800055,incipient,1980-01-22 03:00:00,1980-01-22 06:00:00
19800055,decay,1980-01-22 09:00:00,1980-01-22 21:00:00
19800055,intensification,1980-01-23 00:00:00,1980-01-23 03:00:00
19800055,decay 2,1980-01-23 06:00:00,1980-01-23 09:00:00
19800064,incipient,1980-01-25 03:00:00,1980-01-25 06:00:00
19800064,intensification,1980-01-25 09:00:00,1980-01-27 09:00:00
19800064,mature,1980-01-27 12:00:00,1980-01-28 03:00:00
19800064,decay,1980-01-28 06:00:00,1980-01-31 06:00:00
19800068,incipient,1980-01-27 00:00:00,1980-01-27 06:00:00
19800068,intensification,1980-01-27 09:00:00,1980-01-28 18:00:00
19800068,mature,1980-01-28 21:00:00,1980-01-29 03:00:00
19800068,decay,1980-01-29 06:00:00,1980-01-29 09:00:00
19800070,decay,1980-01-28 09:00:00,1980-01-28 12:00:00
19800070,intensification,1980-01-28 15:00:00,1980-01-29 09:00:00
19800073,incipient,1980-01-29 12:00:00,1980-01-29 18:00:00
19800073,intensification,1980-01-29 21:00:00,1980-01-31 09:00:00
19800073,mature,1980-01-31 12:00:00,1980-02-01 00:00:00
19800073,decay,1980-02-01 03:00:00,1980-02-04 09:00:00
19800085,incipient,1980-02-02 12:00:00,1980-02-02 12:00:00
19800085,intensification,1980-02-02 15:00:00,1980-02-03 09:00:00
19800085,mature,1980-02-03 12:00:00,1980-02-03 21:00:00
19800085,decay,1980-02-04 00:00:00,1980-02-06 03:00:00
19800090,incipient,1980-02-04 00:00:00,1980-02-04 03:00:00
19800090,intensification,1980-02-04 06:00:00,1980-02-05 12:00:00
19800090,mature,1980-02-05 15:00:00,1980-02-05 21:00:00
19800090,decay,1980-02-06 00:00:00,1980-02-06 18:00:00
19800090,residual,1980-02-06 21:00:00,1980-02-09 06:00:00
19800094,incipient,1980-02-05 00:00:00,1980-02-05 00:00:00
19800094,intensification,1980-02-05 03:00:00,1980-02-06 03:00:00
19800094,mature,1980-02-06 06:00:00,1980-02-06 09:00:00
19800094,decay,1980-02-06 12:00:00,1980-02-06 21:00:00
19800097,incipient,1980-02-06 03:00:00,1980-02-06 09:00:00
19800097,intensification,1980-02-06 12:00:00,1980-02-08 03:00:00
19800097,mature,1980-02-08 06:00:00,1980-02-08 15:00:00
19800097,decay,1980-02-08 18:00:00,1980-02-10 09:00:00
19800114,incipient,1980-02-10 12:00:00,1980-02-10 18:00:00
19800114,intensification,1980-02-10 21:00:00,1980-02-11 15:00:00
19800114,mature,1980-02-11 18:00:00,1980-02-12 03:00:00
19800114,decay,1980-02-12 06:00:00,1980-02-14 00:00:00
19800123,incipient,1980-02-14 00:00:00,1980-02-14 09:00:00
19800123,intensification,1980-02-14 12:00:00,1980-02-15 06:00:00
19800123,mature,1980-02-15 09:00:00,1980-02-15 12:00:00
19800123,decay,1980-02-15 15:00:00,1980-02-15 21:00:00
19800134,incipient,1980-02-18 03:00:00,1980-02-18 03:00:00
19800134,intensification,1980-02-18 06:00:00,1980-02-18 18:00:00
19800134,mature,1980-02-18 21:00:00,1980-02-19 00:00:00
19800134,decay,1980-02-19 03:00:00,1980-02-19 21:00:00
19800155,incipient,1980-02-23 12:00:00,1980-02-24 00:00:00
19800155,intensification,1980-02-24 03:00:00,1980-02-25 12:00:00
19800155,mature,1980-02-25 15:00:00,1980-02-26 00:00:00
19800155,decay,1980-02-26 03:00:00,1980-02-27 15:00:00
19800157,incipient,1980-02-24 03:00:00,1980-02-24 03:00:00
19800157,intensification,1980-02-24 06:00:00,1980-02-25 00:00:00
19800157,mature,1980-02-25 03:00:00,1980-02-25 06:00:00
19800157,decay,1980-02-25 09:00:00,1980-02-25 21:00:00
19800168,decay,1980-02-28 00:00:00,1980-02-28 03:00:00
19800168,intensification,1980-02-28 06:00:00,1980-02-28 09:00:00
19800168,decay 2,1980-02-28 12:00:00,1980-02-29 03:00:00
19800170,incipient,1980-02-28 12:00:00,1980-02-28 18:00:00
19800170,intensification,1980-02-28 21:00:00,1980-02-29 06:00:00
19800170,mature,1980-02-29 09:00:00,1980-02-29 12:00:00
19800170,decay,1980-02-29 15:00:00,1980-03-01 09:00:00
